,slides,speaker,title,date,cohort,tag,subtag,recording
12,https://f1000-my.sharepoint.com/:p:/g/personal/demitra_ellina_f1000_online/Ed5_RBaVrrlGmZzicLlHESsBzCy2eW52SzoNTE3VBkzEDQ?e=tLWn2E,demellina,Pre-print and open review,"March 11, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/HaQyv48sMPY?t=2895
13,https://docs.google.com/presentation/d/13d3BgND53cviFRnuQpmWk5UtMYtpSDqpUu9jq4ykNrM/edit?usp=sharing,anita-broellochs,Open Protocols,"March 11, 2020",ols-1,Not sorted,Not tagged,https://youtu.be/HaQyv48sMPY?t=3708
14,https://docs.google.com/presentation/d/1yaLMBcU1awyFZpeOQC2_QYDwlN-Z_dJ2GXNYDAm2jA8/edit?usp=sharing,alexwlchan,Inclusion can't be an afterthought,"March 25, 2020",ols-1,Not sorted,Not tagged,
15,https://drive.google.com/open?id=1ipIUc1t6ogOpyK9gU_PPgD-UvW0Gs73pMIAdCLOG72Y,malvikasharan,Mountain of Engagement & Community Interactions,"March 25, 2020",ols-1,Not sorted,Not tagged,
16,https://docs.google.com/presentation/d/1-rdQipVmJ5lWelQ1oEbi86EbFwTpDh5TLeJ2TAg-oo4/edit?usp=sharing,kirstiejane,Using Personas and Pathways to Build Community,"March 25, 2020",ols-1,Not sorted,Not tagged,
17,https://docs.google.com/presentation/d/13FfUMZ-_jd1bUNyVXG_Rwk51GLOp8rsFHRMCRpXebBE/edit?usp=sharing,fpsom,Leadership in Academia,"April 01, 2020",ols-1,Not sorted,Not tagged,
18,https://docs.google.com/presentation/d/1Cx6XAxZMt3jlU8O8DM8fCYemjmzgHUd6Sx8-MI3kIz0/edit?usp=sharing,bduckles,Becoming a Post Academic ,"April 01, 2020",ols-1,Not sorted,Not tagged,
19,,jasonjwilliamsny,Leadership in training and education,"April 01, 2020",ols-1,Not sorted,Not tagged,
20,https://drive.google.com/open?id=18_gZqCMGDg2VvNOYM17k4vU9tcpXX7KlqKoXlCT1VkU,yochannah,Personal Ecology and Self Care ,"April 01, 2020",ols-1,Not sorted,Not tagged,
21,https://docs.google.com/presentation/d/1-eaxorHL76DGMjcpmTzVDqcO-4Wz-W4VBoOtJa2py3U/edit?usp=sharing,malvikasharan,Ally Skills,"April 01, 2020",ols-1,Not sorted,Not tagged,
22,,,Using project management skills during development stage,"April 04, 2022",ols-5,Not sorted,Not tagged,
23,https://docs.google.com/presentation/d/1s0uV2klFu8RyTCfpWIqL0lUjYlk6u_vx92v48nk-TU8/edit#slide=id.g6e991a6896_0_209,,Mentored contributions,"April 20, 2022",ols-5,Not sorted,Not tagged,
24,,,,"November 15, 2022",ols-6,Not sorted,Not tagged,
25,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,yochannah,Welcome to OLS!,"September 22, 2021",ols-4,Not sorted,Not tagged,
26,https://docs.google.com/presentation/d/10CkS3j8LZBULwpy6zzwO2GBHbNBBStD6v4jceuP1TDg/edit?usp=sharing,bebatut,Introducing Open Canvas,"September 22, 2021",ols-4,Not sorted,Not tagged,
27,https://docs.google.com/presentation/d/1ncWeisU45m5INf-xNBMHtM-GGPvZ6v0mPlrwOh6FY_I/edit?usp=sharing,emmyft,Introducing Road Mapping,"September 22, 2021",ols-4,Not sorted,Not tagged,
28,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,malvikasharan,Welcome to OLS!,"September 29, 2021",ols-4,Not sorted,Not tagged,
29,https://docs.google.com/presentation/d/10CkS3j8LZBULwpy6zzwO2GBHbNBBStD6v4jceuP1TDg/edit?usp=sharing,emmyft,Introducing Open Canvas,"September 29, 2021",ols-4,Not sorted,Not tagged,
30,https://docs.google.com/presentation/d/1ncWeisU45m5INf-xNBMHtM-GGPvZ6v0mPlrwOh6FY_I/edit?usp=sharing,yochannah,Introducing Road Mapping,"September 29, 2021",ols-4,Not sorted,Not tagged,
31,https://docs.google.com/presentation/d/1JX7IBxHBlMBd5xf3Qxu-ZbInqgIXA-Y0eulHJiv5dA0/edit?usp=sharing,kaythaney,Open Licensing,"October 06, 2021",ols-4,Not sorted,Not tagged,
32,https://docs.google.com/presentation/d/1CYTTEzAzSLUOR6-dwBfhZc5a753OJ2wfu2EXJvXBPkY/edit?usp=sharing,alexwlchan,README,"October 06, 2021",ols-4,Not sorted,Not tagged,
33,https://docs.google.com/presentation/d/1ko91U3CXbuFd3hiXRtrLxVtNcoMQgzvhAVeKId0dFZc/edit?usp=sharing,ekaroune,Contributing Guidelines and Code of Conduct,"October 06, 2021",ols-4,Not sorted,Not tagged,
34,https://docs.google.com/presentation/d/1qymN0F-kToQfFIPjXOrXe7lHPy_UB0Buew2kAI1WfWg/edit?usp=sharing,malvikasharan,Introduction to GitHub,"October 13, 2021",ols-4,Not sorted,Not tagged,
35,https://docs.google.com/presentation/d/1I_mQbmVHC1HHzqwyb8UvE3OYt4dALs4V/edit?usp=sharing&ouid=113525991197089671289&rtpof=true&sd=true,nick-barlow,Agile & Iterative Project Management Methods,"October 20, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/kjhrrfF2fvM?t=2573
36,https://docs.google.com/presentation/d/1cfeNl3URWS-IOrG-gwfEzIsg1VN9JQepQhcP54xvAkY/edit?usp=sharing,samvanstroud,Open Source in Research,"October 20, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/kjhrrfF2fvM?t=1463
37,https://doi.org/10.5281/zenodo.5582718,selgebali,Research data management,"October 20, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/kjhrrfF2fvM?t=244
38,https://docs.google.com/presentation/d/e/2PACX-1vQBX5k9RiqQdh9Vjt4O07dUVKku4qI8UyE7Bhy9i0iJpEJETq4KbHeFhHmbv1IM5I0Z1qK-NQLlqNfX/pub?start=false&loop=false&delayms=3000,batoolmm,Using Personas and Pathways to Build Community,"November 03, 2021",ols-4,Not sorted,Not tagged,
39,https://docs.google.com/presentation/d/1-yxiApKB96HIeyLGl7m7uyNjcHW74VP-XV457B-Euw4/edit#slide=id.g459038e743_0_73,chadsansing,Mountain of Engagement,"November 03, 2021",ols-4,Not sorted,Not tagged,
40,https://docs.google.com/presentation/d/1s0uV2klFu8RyTCfpWIqL0lUjYlk6u_vx92v48nk-TU8/edit#slide=id.g6e991a6896_0_209,contraexemplo,Mentored contributions,"November 03, 2021",ols-4,Not sorted,Not tagged,
41,https://docs.google.com/presentation/d/1z8rPZbaxJCQaRvNMhy72sfq6xJcf9RSturrPQtugLGU/edit#slide=id.g6e991a6896_0_209,,Community interactions,"November 03, 2021",ols-4,Not sorted,Not tagged,
42,,,"Post-academia career path, Social entrepreneurship","November 10, 2021",ols-4,Not sorted,Not tagged,
43,,,"Academic leadership, group or project leaders","November 10, 2021",ols-4,Not sorted,Not tagged,
44,,,"Community building, Science Communication","November 10, 2021",ols-4,Not sorted,Not tagged,
45,,,"Policymakers, funders, meta-researchers","November 10, 2021",ols-4,Not sorted,Not tagged,
46,https://docs.google.com/presentation/d/1ThmPqDzvdNvThXK0Q0hlCiRX6rG3Ha5IDbvfyy4YuPw/edit#slide=id.g7e28a7e96f_0_146,,Getting started with preprints,"November 17, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/SfGHnCedkwY?t=1862
47,https://github.com/Nikoleta-v3/talks/blob/master/talks/2021-11-17-Open-Life-Science/main.pdf,,Publishing & Citing Open Research Code,"November 17, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/SfGHnCedkwY?t=3485
48,https://docs.google.com/presentation/d/1AaZETO7piGCfhJP9_UoQGFOWKD5LA5Pg7X0r7rlfkts/edit?usp=sharing,bebatut,"Usable, comprehensive, accessible, FAIR and empowering training - The case of the Galaxy Training Network","November 17, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/SfGHnCedkwY?t=205
49,https://drive.google.com/file/d/1Xofpeq6TUGKVhJRounufGnW62q_lewP6/view?usp=sharing,,Inclusion is not an afterthought or (Unconscious bias: Does it really matter?),"December 01, 2021",ols-4,Not sorted,Not tagged,
50,https://docs.google.com/presentation/d/1aIdwn5Jc1OM5gW9h6GW69ZIDNA7W3s9806-i1gzhNp8/edit?usp=sharing,,Ally skills - Optional,"December 01, 2021",ols-4,Not sorted,Not tagged,
51,https://docs.google.com/presentation/d/1lL8XQlP_lpqEbjGOhnivXq9oiAgVNCq164qntp-2Wp4/edit#slide=id.g70ef43ea53_0_132,malvikasharan,Personal Ecology and Self Care,"December 08, 2021",ols-4,Not sorted,Not tagged,
52,https://docs.google.com/presentation/d/19jspjhFN2kb9H3S-4UEBb5q9aZt22eUdDdxfWWbb6CI/edit?usp=sharing,pherterich,The future of Open Science? DMPs and FAIR data,"December 15, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/DbqsS1-ueqI?t=204
53,,yvanlebras,"Open / citizen sience, the only way to ","December 15, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/DbqsS1-ueqI?t=1705
54,https://doi.org/10.5281/zenodo.5783459,,Software citation with the Citation File Format,"December 15, 2021",ols-4,Not sorted,Not tagged,https://youtu.be/DbqsS1-ueqI?t=3007
55,https://docs.google.com/presentation/d/1w_WWb7Mj7NgX4pLBejB4Vc_ofK7ZHOUYOT1MCeKVi20/present?token=AC4w5VjvHWSZBrOwwb1EcSm8v45lUi3nqQ%3A1599724146314&includes_info_params=1&eisi=CLPd6-uM3usCFdIWswUdsiINRA#slide=id.g6e457e6ac5_0_69,bebatut,Welcome to OLS!,"September 10, 2020",ols-2,Not sorted,Not tagged,
56,https://docs.google.com/presentation/d/14LsolqKJdd1T7XMV8PK6yQrjjrz9VPFHRDtjrL_55Js/edit?usp=sharing,yochannah,Introducing Open Canvas,"September 10, 2020",ols-2,Not sorted,Not tagged,
57,https://docs.google.com/presentation/d/1IqvBjHlqXk8tkKj7nbp5pneQq19z6yuUq9Bkp3eTYPE/edit?usp=sharing,,Road Mapping,"September 10, 2020",ols-2,Not sorted,Not tagged,
58,https://docs.google.com/presentation/d/1qep_rtGuiD7MXOul1KJrgjNYjYw_4WOvdpUO1tTUj1w/edit?usp=sharing,christinerogers,A Primer on Open Licenses,"September 24, 2020",ols-2,Not sorted,Not tagged,
59,https://docs.google.com/presentation/d/12nifeGLgbZWeq7D1EMjLZIvMieM4pEa522sQLQNnT2g/edit?usp=sharing,mkuzak,READMEs for Open Projects,"September 24, 2020",ols-2,Not sorted,Not tagged,
60,https://docs.google.com/presentation/d/196NOwvIx2A_cSOKE7YEyDvww7lehxBmef9O4B_FLodc/edit?usp=sharing,lwinfree,Contributing Guidelines and Codes of Conduct for Open Projects,"September 24, 2020",ols-2,Not sorted,Not tagged,
61,https://docs.google.com/presentation/d/1CWnHXZHFDYFTqE2KKgZ8R5i_46XqAqnjy12gYSDESxk/edit?usp=sharing,unode,Agile and iterative project management methods,"October 08, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/fyz4gB4XPJk?t=410
62,https://docs.google.com/presentation/d/1uZuqgoJp67uRB6t0LCZJ06V8YYyff9-iqrv6zfqtOhk,anenadic,Open Source Software,"October 08, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/fyz4gB4XPJk?t=1266
63,https://doi.org/10.6084/m9.figshare.13065308.v1,orchid00,Open Data,"October 08, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/fyz4gB4XPJk?t=2304
64,,thessaly,"Open tools, for opening science","October 08, 2020",ols-2,Not sorted,Not tagged,https://www.youtube.com/watch?v=BtUNjoTr5eg
65,,lauracion,Open Education and Training - MetaDocencia Case Study,"October 22, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/0BkHqudkjWg?t=929
66,https://bit.ly/OLS-AfricArXiv,babasaraki,Preprint in the Context of Open Science,"October 22, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/0BkHqudkjWg?t=2064
67,https://docs.google.com/presentation/d/1_8Fp5DKh_XXwj34DwR-dzTvUCk1c0ynhy7MvmaHFFoA/edit?usp=sharing,ganleyemma,Open Protocols,"October 22, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/0BkHqudkjWg?t=3557
68,,gedankenstuecke,Citizen Science,"October 22, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/HaQyv48sMPY?t=860
69,https://docs.google.com/presentation/d/e/2PACX-1vSyGYllxLypVdHxfc7wTPQTFshsGpwDxXTgxlQWm19Zd959-GiD098DMOdcW0K0KGYyLefyPrdhFeHF/pub?start=false&loop=false&delayms=3000#slide=id.p,,Personal Ecology and Self Care,"October 29, 2020",ols-2,Not sorted,Not tagged,
70,https://docs.google.com/presentation/d/e/2PACX-1vSyGYllxLypVdHxfc7wTPQTFshsGpwDxXTgxlQWm19Zd959-GiD098DMOdcW0K0KGYyLefyPrdhFeHF/pub?start=false&loop=false&delayms=3000#slide=id.p,,Personal Ecology and Self Care,"October 29, 2020",ols-2,Not sorted,Not tagged,
71,https://docs.google.com/presentation/d/1ER_ZQ_Fe_PFWBPrP87dU6jRaPT2dlB4hCu-wGXJwnBA/edit?usp=sharing,proccaserra,FAIR Data: Insights and perspectives,"November 05, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/ylqDx_ELfus?t=268
72,https://f1000research.com/slides/9-1294,burkemlou,Making training materials FAIR in 10 steps,"November 05, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/ylqDx_ELfus?t=1108
73,https://drive.google.com/file/d/1LtG_gVhszVl13yohYuxTipaKnxV77cqP/view?usp=sharing,fpsom,FAIR Research Software,"November 05, 2020",ols-2,Not sorted,Not tagged,https://youtu.be/ylqDx_ELfus?t=2848
74,https://docs.google.com/presentation/d/1jeTk_PzsWpaR4DRmBrbrDGol2_drPEizp26o4d8jnnA/edit?usp=sharing,rainsworth,Community building,"November 19, 2020",ols-2,Not sorted,Not tagged,
75,https://docs.google.com/presentation/d/1RsvcKd_5uW-TtawLAOw6N95gOLO6MinN0I94dUIII8s/edit,natasha_wood,Navigating a career through academia and industry/start-up,"November 19, 2020",ols-2,Not sorted,Not tagged,
76,,ajstewartlang,Academia,"November 19, 2020",ols-2,Not sorted,Not tagged,
77,https://drive.google.com/file/d/1i1g9pxmkW8gr4f3S380NBJ6-k8GGVnrx/view?usp=sharing,ekin-bolukbasi,"Data Challenges Manager, Wellcome","November 19, 2020",ols-2,Not sorted,Not tagged,
78,https://alexwlchan.net/2020/03/inclusion-cant-be-an-afterthought/,alexwlchan,Inclusion not an afterthought,"December 3, 2020",ols-2,Not sorted,Not tagged,
79,https://docs.google.com/presentation/d/1NldyVwPU-_3lLCd8sZqWNeD3kKmF9VspTDzs58iKCk0/edit?usp=sharing,trallard,Community interactions and mountain of engagements,"December 3, 2020",ols-2,Not sorted,Not tagged,
80,https://docs.google.com/presentation/d/1zAjdIylwTfavFDhPDB9-ykmW_DB-zUnpFjJ7tiNexcw/edit,,Using Personas and Pathways to Build Community,"December 3, 2020",ols-2,Not sorted,Not tagged,
81,https://alexwlchan.net/2020/03/inclusion-cant-be-an-afterthought/,alexwlchan,Inclusion not an afterthought,"December 03, 2020",ols-2,Not sorted,Not tagged,
82,https://docs.google.com/presentation/d/1NldyVwPU-_3lLCd8sZqWNeD3kKmF9VspTDzs58iKCk0/edit?usp=sharing,trallard,Community interactions and mountain of engagements,"December 03, 2020",ols-2,Not sorted,Not tagged,
83,https://docs.google.com/presentation/d/1zAjdIylwTfavFDhPDB9-ykmW_DB-zUnpFjJ7tiNexcw/edit,benkrikler,Using Personas and Pathways to Build Community,"December 03, 2020",ols-2,Not sorted,Not tagged,
84,https://docs.google.com/presentation/d/e/2PACX-1vT_e2ngwmyjwApVc1CC-dUpSHSArCPsZQjw4oo-0USZFn1lw4OtwPB6LsTSAStocYGIScfgrq5Esea7/pub?start=false&loop=false&delayms=3000,malvikasharan,Welcome to OLS!,"February 17, 2021",ols-3,Not sorted,Not tagged,
85,https://docs.google.com/presentation/d/e/2PACX-1vR8j2NXWFyWKldK2OoTseN1t5YhLgeCG2OWNIjER5PKfnfGSdYQSjo8LeUCoYFyc3nZedBaNxc-aneH/pub?start=false&loop=false&delayms=3000,yochannah,Introducing Open Canvas,"February 17, 2021",ols-3,Not sorted,Not tagged,
86,https://docs.google.com/presentation/d/e/2PACX-1vRwCxOy-Xl240eB2j0xwuyA-1wPhQMiJV1nfQsbtsiGSUxPiuJZotZb91o23dtRS_RbYeyFHlq_z8XN/pub?start=false&loop=false&delayms=3000,emmyft,Road Mapping,"February 17, 2021",ols-3,Not sorted,Not tagged,
87,https://docs.google.com/presentation/d/1-Ns22S18_eP6VvEwMx6Mxo5cukFYVSG8W6kaZctyWpc/edit?usp=sharing,ha0ye,A Primer on Open Licenses,"March 03, 2021",ols-3,Not sorted,Not tagged,
88,https://docs.google.com/presentation/d/1APGIvU1aZ_zNkLmC5SYlLXBh6LZK_Qe97-3C_3oXcFI/edit?usp=sharing” with “https://docs.google.com/presentation/d/1K-to88_TV4UI7-ek2ph5PIsqEZcYEprT1KkEXysCWiA/edit?usp=sharing,c-martinez,README,"March 03, 2021",ols-3,Not sorted,Not tagged,
89,https://docs.google.com/presentation/d/e/2PACX-1vSohISYePu3i64JyoI3Lc_GRBTNuWT9x98uFd2HVI0zGQSODiNv03ZSGTcPZcm_cz38K-vhtRRzdhfI/pub?start=false&loop=false&delayms=3000,malvikasharan,Contributing Guidelines and Code of Conduct,"March 03, 2021",ols-3,Not sorted,Not tagged,
90,https://docs.google.com/presentation/d/1MQZS-Nh_mlUJ2JMxzAHAbqP8q1ny_Ktxx0GX0vaj2a4/edit#slide=id.g7e28a7e96f_0_0,unode,Agile and iterative project management methods,"March 17, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/XkzCr3fiSCg?t=207
91,https://docs.google.com/presentation/d/19fZRMPzK2OrynrOdVzkq703j2fz6knAiFjn2JEPfmIQ/edit?usp=sharing,hexylena,Open Source in Research,"March 17, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/XkzCr3fiSCg?t=1190
92,https://doi.org/10.5281/zenodo.4609017,estherplomp,Open Data,"March 17, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/XkzCr3fiSCg?t=2182
93,https://docs.google.com/presentation/d/1p9y7hBmz-ky38JsosaSYi2LmB1fPD0IyIB_BnLAidmo/edit?usp=sharing,amchagas,Open Source/Science Hardware,"March 17, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/XkzCr3fiSCg?t=3593
94,https://docs.google.com/presentation/d/18g_OfcwiUmX-vZnshM0mfs8xutOkeF3iA-RSaTpJs0Y/edit#slide=id.g7e28a7e96f_0_0,iratxepuebla,Let's talk #preprint,"March 31, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/Vizk7fni5Eo?t=710
95,https://docs.google.com/presentation/d/1lrodEXOSuh_01-EuLOi5hyZmDJ7xJBQaQ4iF3Ylvlyo/edit?usp=sharing,lenny-teytelman,Open Protocols,"March 31, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/Vizk7fni5Eo?t=2287
96,https://zenodo.org/record/4651431,georgiahca,Participatory Citizen Science,"March 31, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/Vizk7fni5Eo?t=3792
97,https://docs.google.com/presentation/d/1lL8XQlP_lpqEbjGOhnivXq9oiAgVNCq164qntp-2Wp4/edit#slide=id.g70ef43ea53_0_132,emmyft,Personal Ecology and Self Care,"April 07, 2021",ols-3,Not sorted,Not tagged,
98,https://docs.google.com/presentation/d/1lL8XQlP_lpqEbjGOhnivXq9oiAgVNCq164qntp-2Wp4/edit#slide=id.g70ef43ea53_0_132,emmyft,Personal Ecology and Self Care,"April 07, 2021",ols-3,Not sorted,Not tagged,
99,https://docs.google.com/presentation/d/1p-hNZTifBNHo_gbFPQlUW6YmLKIGH1jWJnWXIGoWQYs/edit#slide=id.p,emma-anne-harris,FAIR data,"April 14, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/j-rPaiojNFk?t=206
100,https://docs.google.com/presentation/d/1MPxp0Y3qN6H35QNMrtcXOXkRhtx6Tbo89-GiBsrBkaA/edit#slide=id.g7e28a7e96f_0_60,alexholinski,FAIR training,"April 14, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/j-rPaiojNFk?t=1380
101,https://doi.org/10.6084/m9.figshare.14410751.v1,npch,Good enough practices for FAIR software,"April 14, 2021",ols-3,Not sorted,Not tagged,https://youtu.be/j-rPaiojNFk?t=2915
102,,sdopoku,Social entrepreneurship,"April 28, 2021",ols-3,Not sorted,Not tagged,
103,,,Open Lab and Makers movement,"April 28, 2021",ols-3,Not sorted,Not tagged,
104,,,Journal and public relations,"April 28, 2021",ols-3,Not sorted,Not tagged,
105,,natalie-banner,Talking about data in trustworthy ways,"April 28, 2021",ols-3,Not sorted,Not tagged,
106,https://drive.google.com/file/d/1Xofpeq6TUGKVhJRounufGnW62q_lewP6/view?usp=sharing,rowland-mosbergen,Inclusion is not an afterthought or (Unconscious bias: Does it really matter?),"May 12, 2021",ols-3,Not sorted,Not tagged,
107,https://docs.google.com/presentation/d/e/2PACX-1vQBX5k9RiqQdh9Vjt4O07dUVKku4qI8UyE7Bhy9i0iJpEJETq4KbHeFhHmbv1IM5I0Z1qK-NQLlqNfX/pub?start=false&loop=false&delayms=3000,anelda,Personas & Pathways,"May 12, 2021",ols-3,Not sorted,Not tagged,
108,https://docs.google.com/presentation/d/1-yxiApKB96HIeyLGl7m7uyNjcHW74VP-XV457B-Euw4/edit#slide=id.g459038e743_0_73,emmyft,Mountain of Engagement,"May 12, 2021",ols-3,Not sorted,Not tagged,
109,https://docs.google.com/presentation/d/1s0uV2klFu8RyTCfpWIqL0lUjYlk6u_vx92v48nk-TU8/edit#slide=id.g6e991a6896_0_209,bebatut,Welcoming new contributions to your project,"May 12, 2021",ols-3,Not sorted,Not tagged,
110,https://docs.google.com/presentation/d/1z8rPZbaxJCQaRvNMhy72sfq6xJcf9RSturrPQtugLGU/edit#slide=id.g6e991a6896_0_209,yochannah,Community interactions,"May 12, 2021",ols-3,Not sorted,Not tagged,
111,,,Mentored contributions,"April 19, 2023",ols-7,Not sorted,Not tagged,
112,,,Community interactions,"April 19, 2023",ols-7,Not sorted,Not tagged,
113,,,,"May 02, 2023",ols-7,Not sorted,Not tagged,
114,,,,"May 02, 2023",ols-7,Not sorted,Not tagged,
115,,,,"May 02, 2023",ols-7,Not sorted,Not tagged,
116,,,,"May 02, 2023",ols-7,Not sorted,Not tagged,
117,,,,"May 17, 2023",ols-7,Not sorted,Not tagged,
118,,,,"May 17, 2023",ols-7,Not sorted,Not tagged,
119,,,,"May 17, 2023",ols-7,Not sorted,Not tagged,
120,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,,Welcome to OLS!,"March 07, 2022",ols-5,Open Life Science,OLS Introduction,
121,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,,Welcome to OLS!,"March 16, 2022",ols-5,Open Life Science,OLS Introduction,
122,https://docs.google.com/presentation/d/1huJSmgaQMqB3go3XUcw_H61p6my0gkZE/edit#slide=id.p2,yochannah,Welcome to OLS!,"September 27, 2022",ols-6,Open Life Science,OLS Introduction,
123,https://docs.google.com/presentation/d/1huJSmgaQMqB3go3XUcw_H61p6my0gkZE/edit#slide=id.p2,yochannah,Welcome to OLS!,"October 05, 2022",ols-6,Open Life Science,OLS Introduction,
124,https://docs.google.com/presentation/d/16M5R6YhvAeK0-old_hV9RjrshdA0sdJPgZBRO_MyRLA/edit?usp=sharing,emmyft,Welcome to OLS!,"March 07, 2023",ols-7,Open Life Science,OLS Introduction,https://youtu.be/05w7h9T3GhQ?t=1096
125,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,yochannah,Welcome to OLS!,"March 15, 2023",ols-7,Open Life Science,OLS Introduction,https://youtu.be/XulHUHQru2I?t=1124
126,https://docs.google.com/presentation/d/10CkS3j8LZBULwpy6zzwO2GBHbNBBStD6v4jceuP1TDg/edit?usp=sharing,,Introducing Open Canvas,"March 07, 2022",ols-5,Tooling for Project Design,Open Canvas,
127,https://docs.google.com/presentation/d/10CkS3j8LZBULwpy6zzwO2GBHbNBBStD6v4jceuP1TDg/edit?usp=sharing,,Introducing Open Canvas,"March 16, 2022",ols-5,Tooling for Project Design,Open Canvas,
