,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation, Final presentation rehearsals, Final presentation call (open and live streamed)",,,,Yes I'd like to return as an expert,,,,"Yes, they were able to engage",
,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were somewhat constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Project development: Agile and iterative project management methods & Open Aspects, Knowledge Dissemination: Preprints, Training and Code Publishing, Data management plans, software citation, Citizen Science, Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls",,,,"I am not sure yet, but ask me later, I would like to continue being involved in OLS, but need to assess my possible time commitments over the next few months first",,,,"No, they had difficulty engaging or attending calls",
,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were always constructive,,,,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",,,,"Yes, they were able to engage",
,,,,,,I enjoyed my participation and did not find the experience overwhelming,,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, Persona and pathways and inviting contributions, Mental health, self care, personal ecology",,,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",,,,"Yes, they were able to engage","My mentee was struggling with structure at the beginning and I feel guilty that I didn't give her more guidance at that point. Not sure what I want to say, I guess it's a note to self to be ready to put more effort in the initial phase of the project, not to wait until things somewhat settle down"
,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were mostly constructive,"Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Mental health, self care, personal ecology",,,,Yes I'd like to return as a mentor,,,,"Yes, they were able to engage",
,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were mostly constructive,,,,,"I am not sure yet, but ask me later",,,,"Yes, they were able to engage",N/A
,,,,,,"I felt supported as a mentor and the training offered in the OLS-5 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Data management plans, software citation, Diversity and Inclusion, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Open Leadership: Career Guidance call, Final presentation call (open and live streamed)",,,,"I am not sure yet, but ask me later",,,,"Yes, they were able to engage",
,,,,,,"I felt supported as a mentor and the training offered in the OLS-5 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were always constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Licensing and Code of Conduct, GitHub and README files, Mental health, self care, personal ecology, Open Leadership: Career Guidance call",,,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",,,,"Yes, they were able to engage",
,,,,,,"I felt supported as a mentor and the training offered in the OLS-5 was adequate, I enjoyed my participation and did not find the experience overwhelming",,Mentoring calls were mostly constructive,"Tooling and Roadmapping (open canvas, project vision etc.), Project development: Agile and iterative project management methods & Open Aspects, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Final presentation call (open and live streamed)",,,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",,,,"Yes, they were able to engage",
,,,,,,I felt supported as a mentor but the training offered in the OLS-5 can be improved,,Mentoring calls were mostly constructive,,,,,"I am not sure yet, but ask me later",,,,"No, they had difficulty engaging or attending calls",Apologies for my low actitivy in the OLS-5 cohort. I've experienced exciting but difficult months learning how to raise my newborn daughter and also delivering outputs of my main project at the Turing. I hope to be more active in future OLS cohorts! 
,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were always constructive,"Final presentation call (open and live streamed), I only attend the first call and then the graduation this time.",,,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert",,,,"Yes, they were able to engage",
,,,,,,I felt supported as a mentor and the training offered in the OLS-5 was adequate,,Mentoring calls were always constructive,"Diversity and Inclusion, Mountain of engagement and Community interactions, Persona and pathways and inviting contributions, Mental health, self care, personal ecology, Ally skills, Open Leadership: Career Guidance call, Open office/co-working hours and social calls",,,,"Yes I'd like to return as a mentor, Yes I'd like to return as an expert, Yes I'd like to return as a collaborator to run this program in my network, Yes I am interesting in joining the OLS steering committee",,,,"Yes, they were able to engage",
